,data,errBoundRatio,input_size,max_quant_intl,check_radius,node_count,node_count_esti,curve_hit,curve_missed,hit_ratio,tree_size,encode_size,outlier_size,output_size,compression_ratio
70,yf17_p.dat,1E-2, 776832,32,94271.450469,63,62,97000,104,0.9989289833580491,442,29520,159, 20246, 38.36965
71,yf17_p.dat,1E-1, 776832,32,942714.504688,21,20,97102,2,0.9999794035261164,148,15222,4, 4512, 172.17021
72,yf17_t.dat,1E-9, 776832,65536,0.003687,1595,1594,13540,83564,0.13943812819245346,14356,36958,318435, 266211, 2.91811
73,yf17_t.dat,1E-8, 776832,65536,0.036867,10849,10848,29217,67887,0.30088358872960946,97642,60912,234488, 272534, 2.85040
74,yf17_t.dat,1E-7, 776832,65536,0.368665,37271,37270,46216,50888,0.4759433185038721,335440,91915,163671, 379790, 2.04543
75,yf17_t.dat,1E-6, 776832,65536,3.686652,59483,59482,79033,18071,0.8139005602240896,535348,139801,54650, 433091, 1.79369
76,yf17_t.dat,1E-5, 776832,65536,36.866517,35713,35712,96768,336,0.9965397923875432,321418,141899,981, 288763, 2.69021
77,yf17_t.dat,1E-4, 776832,8192,46.078225,8453,8452,96952,152,0.998434667984841,76078,106902,374, 137497, 5.64981
78,yf17_t.dat,1E-3, 776832,1024,57.548558,1629,1628,97033,71,0.9992688251771297,14662,71524,132, 73367, 10.58830
79,yf17_t.dat,1E-2, 776832,64,35.440461,127,126,96733,371,0.996179354094579,890,41582,621, 35007, 22.19076
80,yf17_t.dat,1E-1, 776832,32,174.389569,33,32,97102,2,0.9999794035261164,232,28723,4, 11781, 65.93939
